Column1;Column2;Column3;Column4;Column5;Column6;Column7;;;;
153;0.01;13;1;2;1;1;;;;
167;0.01;13;1;1;1;1;;;;
168;0.01;13;1;1;1;1;;;;
179;0.01;13;1;2;1;1;;;;
180;0.01;13;1;1;1;1;;;;
201;0.01;13;1;2;1;1;;;;
202;0.01;13;1;1;1;1;;;;
210;0.01;13;1;1;1;1;;;;
225;0.01;13;1;1;1;1;;;;
226;0.01;13;1;1;1;1;;;;
277;0.01;13;1;2;1;1;;;;
278;0.01;13;1;2;1;1;;;;
279;0.01;13;1;1;1;1;;;;
280;0.01;13;1;2;1;1;;;;
281;0.01;13;1;1;1;1;;;;
307;0.01;13;1;1;1;1;;;;
338;0.01;13;1;1;1;1;;;;
339;0.01;13;1;2;1;1;;;;
340;0.01;13;1;1;1;1;;;;
367;0.01;13;1;1;1;1;;;;
370;0.01;13;1;2;1;1;;;;
429;0.01;13;1;2;1;1;;;;
430;0.01;13;1;1;1;1;;;;
431;0.01;13;1;2;1;1;;;;
432;0.01;13;1;2;1;1;;;;
22;0.01;14;1;1;1;1;;;;
24;0.01;14;1;1;1;1;;;;
25;0.01;14;1;1;1;1;;;;
55;0.01;14;1;1;1;1;;;;
64;0.01;14;1;1;1;1;;;;
73;0.01;14;1;1;1;1;;;;
77;0.01;14;1;1;1;1;;;;
79;0.02;14;1;2;1;1;;;;
80;0.02;14;1;2;1;1;;;;
90;0.01;14;1;1;1;1;;;;
93;0.01;14;1;1;1;1;;;;
97;0.02;14;1;2;1;1;;;;
101;0.01;14;1;1;1;1;;;;
104;0.01;14;1;1;1;1;;;;
105;0.01;14;1;2;1;1;;;;
110;0.01;14;1;1;1;1;;;;
116;0.01;14;1;2;1;1;;;;
117;0.01;14;1;1;1;1;;;;
121;0.01;14;1;1;1;1;;;;
137;0.01;14;1;1;1;1;;;;
138;0.01;14;1;2;1;1;;;;
139;0.01;14;1;2;1;1;;;;
140;0.01;14;1;1;1;1;;;;
146;0.01;14;1;1;1;1;;;;
150;0.01;14;1;1;1;1;;;;
158;0.01;14;1;1;1;1;;;;
164;0.01;14;1;1;1;1;;;;
165;0.01;14;1;2;1;1;;;;
166;0.01;14;1;2;1;1;;;;
178;0.01;14;1;1;1;1;;;;
199;0.01;14;1;1;1;1;;;;
200;0.01;14;1;1;1;1;;;;
208;0.01;14;1;1;1;1;;;;
221;0.01;14;1;2;1;1;;;;
222;0.01;14;1;1;1;1;;;;
223;0.01;14;1;2;1;1;;;;
224;0.01;14;1;1;1;1;;;;
251;0.01;14;1;2;1;1;;;;
252;0.01;14;1;2;1;1;;;;
253;0.01;14;1;1;1;1;;;;
254;0.01;14;1;2;1;1;;;;
275;0.01;14;1;2;1;1;;;;
300;0.01;14;1;2;1;1;;;;
301;0.01;14;1;2;1;1;;;;
302;0.01;14;1;1;1;1;;;;
303;0.01;14;1;2;1;1;;;;
304;0.01;14;1;1;1;1;;;;
332;0.01;14;1;1;1;1;;;;
334;0.01;14;1;2;1;1;;;;
335;0.01;14;1;1;1;1;;;;
337;0.01;14;1;1;1;1;;;;
363;0.01;14;1;2;1;1;;;;
365;0.01;14;1;1;1;1;;;;
366;0.01;14;1;2;1;1;;;;
418;0.01;14;1;2;1;1;;;;
421;0.01;14;1;2;1;1;;;;
422;0.01;14;1;1;1;1;;;;
423;0.01;14;1;1;1;1;;;;
424;0.01;14;1;1;1;1;;;;
425;0.01;14;1;2;1;1;;;;
426;0.01;14;1;1;1;1;;;;
427;0.01;14;1;2;1;1;;;;
428;0.01;14;1;1;1;1;;;;
36;0.01;15;1;1;1;1;;;;
46;0.01;15;1;1;1;1;;;;
63;0.02;15;1;2;1;1;;;;
67;0.02;15;1;2;1;1;;;;
75;0.01;15;1;1;1;1;;;;
84;0.01;15;1;1;1;1;;;;
92;0.01;15;1;1;1;1;;;;
96;0.02;15;1;2;1;1;;;;
100;0.01;15;1;1;1;1;;;;
115;0.01;15;1;2;1;1;;;;
120;0.01;15;1;1;1;1;;;;
131;0.02;15;1;2;1;1;;;;
132;0.01;15;1;1;1;1;;;;
145;0.01;15;1;1;1;1;;;;
162;0.01;15;1;1;1;1;;;;
163;0.01;15;1;2;1;1;;;;
175;0.01;15;1;2;1;1;;;;
176;0.01;15;1;1;1;1;;;;
187;0.01;15;1;2;1;1;;;;
188;0.01;15;1;1;1;1;;;;
198;0.01;15;1;2;1;1;;;;
219;0.01;15;1;2;1;1;;;;
220;0.01;15;1;1;1;1;;;;
247;0.01;15;1;1;1;1;;;;
248;0.02;15;1;2;1;1;;;;
249;0.01;15;1;1;1;1;;;;
250;0.01;15;1;1;1;1;;;;
272;0.01;15;1;2;1;1;;;;
273;0.01;15;1;2;1;1;;;;
274;0.01;15;1;1;1;1;;;;
297;0.01;15;1;1;1;1;;;;
298;0.01;15;1;2;1;1;;;;
299;0.01;15;1;2;1;1;;;;
328;0.01;15;1;1;1;1;;;;
329;0.01;15;1;1;1;1;;;;
330;0.02;15;1;2;1;1;;;;
359;0.01;15;1;2;1;1;;;;
360;0.01;15;1;2;1;1;;;;
361;0.01;15;1;1;1;1;;;;
362;0.01;15;1;2;1;1;;;;
406;0.02;15;1;2;1;1;;;;
408;0.01;15;1;1;1;1;;;;
409;0.01;15;1;1;1;1;;;;
410;0.01;15;1;2;1;1;;;;
411;0.01;15;1;1;1;1;;;;
413;0.01;15;1;1;1;1;;;;
414;0.01;15;1;2;1;1;;;;
69;0.02;16;1;2;1;1;;;;
70;0.01;16;1;1;1;1;;;;
74;0.01;16;1;1;1;1;;;;
83;0.02;16;1;2;1;1;;;;
87;0.01;16;1;1;1;1;;;;
99;0.02;16;1;2;1;1;;;;
113;0.01;16;1;2;1;1;;;;
119;0.01;16;1;1;1;1;;;;
126;0.01;16;1;2;1;1;;;;
127;0.02;16;1;2;1;1;;;;
135;0.01;16;1;2;1;1;;;;
136;0.01;16;1;2;1;1;;;;
149;0.02;16;1;2;1;1;;;;
161;0.01;16;1;1;1;1;;;;
206;0.01;16;1;1;1;1;;;;
218;0.01;16;1;1;1;1;;;;
244;0.01;16;1;2;1;1;;;;
246;0.01;16;1;1;1;1;;;;
266;0.02;16;1;2;1;1;;;;
267;0.01;16;1;1;1;1;;;;
268;0.01;16;1;1;1;1;;;;
269;0.01;16;1;2;1;1;;;;
270;0.01;16;1;2;1;1;;;;
271;0.02;16;1;2;1;1;;;;
293;0.01;16;1;2;1;1;;;;
294;0.01;16;1;2;1;1;;;;
295;0.02;16;1;2;1;1;;;;
324;0.02;16;1;2;1;1;;;;
325;0.02;16;1;2;1;1;;;;
326;0.02;16;1;2;1;1;;;;
327;0.01;16;1;1;1;1;;;;
354;0.02;16;1;2;1;1;;;;
355;0.01;16;1;1;1;1;;;;
356;0.01;16;1;1;1;1;;;;
357;0.01;16;1;1;1;1;;;;
358;0.01;16;1;1;1;1;;;;
398;0.01;16;1;2;1;1;;;;
399;0.02;16;1;2;1;1;;;;
400;0.01;16;1;2;1;1;;;;
401;0.02;16;1;2;1;1;;;;
402;0.01;16;1;1;1;1;;;;
403;0.01;16;1;2;1;1;;;;
404;0.01;16;1;1;1;1;;;;
405;0.02;16;1;2;1;1;;;;
94;0.02;17;1;2;1;1;;;;
144;0.02;17;1;2;1;1;;;;
147;0.02;17;1;2;1;1;;;;
148;0.02;17;1;2;1;1;;;;
156;0.01;17;1;1;1;1;;;;
157;0.01;17;1;1;1;1;;;;
160;0.02;17;1;2;1;1;;;;
185;0.01;17;1;2;1;1;;;;
195;0.02;17;1;2;1;1;;;;
196;0.02;17;1;2;1;1;;;;
237;0.02;17;1;3;1;1;;;;
238;0.02;17;1;2;1;1;;;;
239;0.01;17;1;1;1;1;;;;
240;0.02;17;1;2;1;1;;;;
241;0.02;17;1;2;1;1;;;;
242;0.01;17;1;1;1;1;;;;
243;0.01;17;1;1;1;1;;;;
264;0.02;17;1;2;1;1;;;;
320;0.01;17;1;2;1;1;;;;
321;0.01;17;1;1;1;1;;;;
322;0.01;17;1;2;1;1;;;;
323;0.02;17;1;2;1;1;;;;
390;0.01;17;1;1;1;1;;;;
392;0.01;17;1;1;1;1;;;;
393;0.02;17;1;2;1;1;;;;
394;0.02;17;1;2;1;1;;;;
395;0.02;17;1;2;1;1;;;;
396;0.02;17;1;2;1;1;;;;
194;0.02;18;1;2;1;1;;;;
216;0.02;18;1;2;1;1;;;;
217;0.02;18;1;2;1;1;;;;
261;0.02;18;1;3;1;1;;;;
262;0.02;18;1;2;1;1;;;;
263;0.02;18;1;2;1;1;;;;
289;0.02;18;1;2;1;1;;;;
290;0.01;18;1;1;1;1;;;;
292;0.01;18;1;1;1;1;;;;
318;0.02;18;1;2;1;1;;;;
319;0.02;18;1;2;1;1;;;;
345;0.01;18;1;1;1;1;;;;
346;0.02;18;1;2;1;1;;;;
348;0.02;18;1;3;1;1;;;;
349;0.02;18;1;2;1;1;;;;
350;0.02;18;1;2;1;1;;;;
351;0.02;18;1;2;1;1;;;;
352;0.02;18;1;3;1;1;;;;
353;0.02;18;1;3;1;1;;;;
385;0.02;18;1;2;1;1;;;;
387;0.02;18;1;2;1;1;;;;
388;0.02;18;1;2;1;1;;;;
389;0.01;18;1;1;1;1;;;;
205;0.02;19;1;2;1;1;;;;
260;0.02;19;1;2;1;1;;;;
317;0.02;19;1;3;1;1;;;;
343;0.02;19;1;2;1;1;;;;
344;0.02;19;1;3;1;1;;;;
383;0.02;19;1;3;1;1;;;;
384;0.02;19;1;2;1;1;;;;
259;0.03;10;1;2;2;2;;;;
379;0.03;10;1;2;2;2;;;;
380;0.03;10;1;2;2;2;;;;
445;0.03;10;1;2;2;2;;;;
32;0.04;11;1;2;2;2;;;;
41;0.04;11;1;2;2;2;;;;
103;0.04;11;1;2;2;2;;;;
114;0.04;11;1;2;2;2;;;;
182;0.04;11;1;2;2;2;;;;
192;0.04;11;1;2;2;2;;;;
203;0.04;11;1;2;2;2;;;;
204;0.03;11;1;2;2;2;;;;
231;0.04;11;1;2;2;2;;;;
257;0.03;11;1;2;2;2;;;;
258;0.04;11;1;2;2;2;;;;
286;0.03;11;1;2;2;2;;;;
312;0.04;11;1;2;2;2;;;;
375;0.04;11;1;2;2;2;;;;
376;0.03;11;1;2;2;2;;;;
441;0.04;11;1;2;2;2;;;;
17;0.04;12;1;2;2;2;;;;
28;0.04;12;1;2;2;2;;;;
37;0.04;12;1;2;2;2;;;;
40;0.04;12;1;2;2;2;;;;
181;0.04;12;1;2;2;2;;;;
213;0.04;12;1;2;2;2;;;;
227;0.04;12;1;2;2;2;;;;
282;0.04;12;1;2;2;2;;;;
310;0.04;12;1;2;2;2;;;;
341;0.04;12;1;2;2;2;;;;
372;0.04;12;1;2;2;2;;;;
435;0.04;12;1;2;2;2;;;;
436;0.04;12;1;2;2;2;;;;
62;0.04;13;1;2;2;2;;;;
78;0.04;13;1;2;2;2;;;;
82;0.04;13;1;2;2;2;;;;
85;0.04;13;1;2;2;2;;;;
142;0.04;13;1;2;2;2;;;;
154;0.04;13;1;2;2;2;;;;
368;0.04;13;1;2;2;2;;;;
369;0.04;13;1;2;2;2;;;;
433;0.04;13;1;2;2;2;;;;
177;0.04;14;1;2;2;2;;;;
190;0.04;14;1;2;2;2;;;;
191;0.04;14;1;2;2;2;;;;
209;0.04;14;1;2;2;2;;;;
276;0.04;14;1;2;2;2;;;;
305;0.04;14;1;2;2;2;;;;
306;0.04;14;1;2;2;2;;;;
331;0.04;14;1;2;2;2;;;;
336;0.04;14;1;2;2;2;;;;
364;0.04;14;1;2;2;2;;;;
416;0.04;14;1;2;2;2;;;;
417;0.05;14;1;2;2;2;;;;
419;0.04;14;1;2;2;2;;;;
420;0.04;14;1;2;2;2;;;;
296;0.05;15;1;2;2;2;;;;
407;0.05;15;1;2;2;2;;;;
412;0.04;15;1;2;2;2;;;;
415;0.05;15;1;2;2;2;;;;
245;0.05;16;1;2;2;2;;;;
397;0.04;16;1;2;2;2;;;;
151;0.97;14;1;3;3;2;;;;
189;0.97;14;1;3;3;2;;;;
333;0.95;14;1;3;3;2;;;;
81;0.99;15;1;3;3;2;;;;
174;0.94;15;1;3;3;2;;;;
186;0.98;15;1;3;3;2;;;;
197;0.93;15;1;3;3;2;;;;
207;0.94;15;1;3;3;2;;;;
265;1.01;16;1;3;3;2;;;;
391;NaN;17;1;4;4;0;;;;
291;NaN;18;1;4;4;0;;;;
347;NaN;18;1;4;4;0;;;;
386;NaN;18;1;4;4;0;;;;
Variant;Total Time;Number of Events;Number of Application;Number of Offer;Size of Maximal Merging Candidate;Number of Summarizations;;;;
