event_activity,event_timestamp,order,item,delivery,event_id
Confirm Order,7106,"{""order12""}","{""item25"",""item24""}",{},71
Pay Order,7398,"{""order12""}",{},{},72
Item out of stock,7397,{},"{""item24""}",{},73
Reorder Item,7398,{},"{""item24""}",{},74
Item out of stock,7397,{},"{""item25""}",{},75
Reorder Item,7398,{},"{""item25""}",{},76
Place Order,7708,"{""order13""}","{""item26"",""item27""}",{},77
Confirm Order,7709,"{""order13""}","{""item26"",""item27""}",{},78
Load Cargo,8000,{},"{""item21"",""item19""}","{""delivery6""}",79
Payment Reminder,8004,"{""order13""}",{},{},80
Pick Item,8004,{},"{""item26""}",{},81
Pick Item,8004,{},"{""item27""}",{},82
Place Order,8311,"{""order14""}","{""item29"",""item28""}",{},83
Confirm Order,8312,"{""order14""}","{""item29"",""item28""}",{},84
Payment Reminder,8644,"{""order14""}",{},{},85
Item out of stock,8643,{},"{""item29""}",{},86
Pick Item,8644,{},"{""item28""}",{},87
Reorder Item,8644,{},"{""item29""}",{},88
Place Order,8920,"{""order15""}","{""item31"",""item30""}",{},89
Confirm Order,8921,"{""order15""}","{""item31"",""item30""}",{},90
Item out of stock,9241,{},"{""item31""}",{},91
Reorder Item,9242,{},"{""item31""}",{},92
Item out of stock,9241,{},"{""item30""}",{},93
Pay Order,9242,"{""order15""}",{},{},94
Reorder Item,9242,{},"{""item30""}",{},95
Place Order,9502,"{""order16""}","{""item32"",""item33""}",{},96
Confirm Order,9503,"{""order16""}","{""item32"",""item33""}",{},97
Payment Reminder,9798,"{""order16""}",{},{},98
Pick Item,9798,{},"{""item33""}",{},99
Item out of stock,9797,{},"{""item32""}",{},100
Reorder Item,9798,{},"{""item32""}",{},101
Load Cargo,9821,{},"{""item20"",""item26""}","{""delivery16""}",102
Place Order,10149,"{""order17""}","{""item34"",""item35""}",{},103
Confirm Order,10150,"{""order17""}","{""item34"",""item35""}",{},104
Payment Reminder,10460,"{""order17""}",{},{},105
Item out of stock,10459,{},"{""item34""}",{},106
Pick Item,10460,{},"{""item35""}",{},107
Reorder Item,10460,{},"{""item34""}",{},108
Load Cargo,10550,{},"{""item28"",""item27""}","{""delivery14""}",109
Place Order,10731,"{""order18""}","{""item36"",""item37""}",{},110
Confirm Order,10732,"{""order18""}","{""item36"",""item37""}",{},111
Payment Reminder,11041,"{""order18""}",{},{},112
Pick Item,11041,{},"{""item37""}",{},113
Item out of stock,11040,{},"{""item36""}",{},114
Reorder Item,11041,{},"{""item36""}",{},115
Place Order,11282,"{""order19""}","{""item39"",""item38""}",{},116
Confirm Order,11283,"{""order19""}","{""item39"",""item38""}",{},117
Pay Order,11599,"{""order19""}",{},{},118
Item out of stock,11598,{},"{""item39""}",{},119
Pick Item,11599,{},"{""item38""}",{},120
Reorder Item,11599,{},"{""item39""}",{},121
Place Order,11875,"{""order20""}","{""item41"",""item40""}",{},122
Confirm Order,11876,"{""order20""}","{""item41"",""item40""}",{},123
Fuel Car,11954,{},{},"{""delivery17""}",124
Pay Order,12180,"{""order20""}",{},{},125
Item out of stock,12179,{},"{""item40""}",{},126
Reorder Item,12180,{},"{""item40""}",{},127
Pick Item,12180,{},"{""item41""}",{},128
Load Cargo,12231,{},"{""item35"",""item33""}","{""delivery2""}",129
Place Order,12461,"{""order21""}","{""item43"",""item42""}",{},130
Confirm Order,12462,"{""order21""}","{""item43"",""item42""}",{},131
Fuel Car,12480,{},{},"{""delivery1""}",132
Pay Order,12783,"{""order21""}",{},{},133
Item out of stock,12782,{},"{""item42""}",{},134
Reorder Item,12783,{},"{""item42""}",{},135
Item out of stock,12782,{},"{""item43""}",{},136
Reorder Item,12783,{},"{""item43""}",{},137
Place Order,13006,"{""order22""}","{""item45"",""item44""}",{},138
Confirm Order,13007,"{""order22""}","{""item45"",""item44""}",{},139
Fuel Car,13128,{},{},"{""delivery3""}",140
Pay Order,13312,"{""order22""}",{},{},141
Item out of stock,13311,{},"{""item45""}",{},142
Pick Item,13312,{},"{""item44""}",{},143
Reorder Item,13312,{},"{""item45""}",{},144
Load Cargo,13426,{},"{""item37"",""item38""}","{""delivery20""}",145
Place Order,13610,"{""order23""}","{""item46"",""item47""}",{},146
Confirm Order,13611,"{""order23""}","{""item46"",""item47""}",{},147
Fuel Car,13729,{},{},"{""delivery16""}",148
Pay Order,13907,"{""order23""}",{},{},149
Item out of stock,13906,{},"{""item47""}",{},150
Reorder Item,13907,{},"{""item47""}",{},151
Item out of stock,13906,{},"{""item46""}",{},152
Reorder Item,13907,{},"{""item46""}",{},153
Start Route,13975,{},"{""item11"",""item4""}","{""delivery1""}",154
Place Order,14240,"{""order24""}","{""item49"",""item48""}",{},155
Confirm Order,14241,"{""order24""}","{""item49"",""item48""}",{},156
Pay Order,14562,"{""order24""}",{},{},157
Pick Item,14562,{},"{""item48""}",{},158
Pick Item,14562,{},"{""item49""}",{},159
Start Route,14641,{},"{""item2"",""item3""}","{""delivery3""}",160
Place Order,14859,"{""order25""}","{""item51"",""item50""}",{},161
Confirm Order,14860,"{""order25""}","{""item51"",""item50""}",{},162
Load Cargo,15020,{},"{""item41"",""item44""}","{""delivery12""}",163
Item out of stock,15188,{},"{""item50""}",{},164
Pay Order,15189,"{""order25""}",{},{},165
Reorder Item,15189,{},"{""item50""}",{},166
Pick Item,15189,{},"{""item51""}",{},167
Place Order,15468,"{""order26""}","{""item52"",""item53""}",{},168
Confirm Order,15469,"{""order26""}","{""item52"",""item53""}",{},169
Pick Item,15808,{},"{""item52""}",{},170
Payment Reminder,15808,"{""order26""}",{},{},171
Item out of stock,15807,{},"{""item53""}",{},172
Reorder Item,15808,{},"{""item53""}",{},173
Place Order,16076,"{""order27""}","{""item54"",""item55""}",{},174
Confirm Order,16077,"{""order27""}","{""item54"",""item55""}",{},175
Payment Reminder,16383,"{""order27""}",{},{},176
Pick Item,16383,{},"{""item54""}",{},177
Pick Item,16383,{},"{""item55""}",{},178
Load Cargo,16426,{},"{""item49"",""item48""}","{""delivery8""}",179
Place Order,16707,"{""order28""}","{""item57"",""item56""}",{},180
Confirm Order,16708,"{""order28""}","{""item57"",""item56""}",{},181
Pay Order,17010,"{""order28""}",{},{},182
Pick Item,17010,{},"{""item57""}",{},183
Pick Item,17010,{},"{""item56""}",{},184
Start Route,17072,{},"{""item20"",""item26""}","{""delivery16""}",185
Place Order,17326,"{""order29""}","{""item59"",""item58""}",{},186
Confirm Order,17327,"{""order29""}","{""item59"",""item58""}",{},187
Load Cargo,17613,{},"{""item51"",""item52""}","{""delivery26""}",188
Item out of stock,17645,{},"{""item58""}",{},189
Pay Order,17646,"{""order29""}",{},{},190
Pick Item,17646,{},"{""item59""}",{},191
Reorder Item,17646,{},"{""item58""}",{},192
Place Order,17884,"{""order30""}","{""item61"",""item60""}",{},193
Confirm Order,17885,"{""order30""}","{""item61"",""item60""}",{},194
Pay Order,18172,"{""order30""}",{},{},195
Pick Item,18172,{},"{""item61""}",{},196
Pick Item,18172,{},"{""item60""}",{},197
Load Cargo,18183,{},"{""item55"",""item54""}","{""delivery21""}",198
Place Order,18505,"{""order31""}","{""item63"",""item62""}",{},199
Confirm Order,18506,"{""order31""}","{""item63"",""item62""}",{},200
Item out of stock,18814,{},"{""item63""}",{},201
Reorder Item,18815,{},"{""item63""}",{},202
Pick Item,18815,{},"{""item62""}",{},203
Payment Reminder,18815,"{""order31""}",{},{},204
Load Cargo,18865,{},"{""item57"",""item56""}","{""delivery31""}",205
Place Order,19074,"{""order32""}","{""item65"",""item64""}",{},206
Confirm Order,19075,"{""order32""}","{""item65"",""item64""}",{},207
Payment Reminder,19395,"{""order32""}",{},{},208
Pick Item,19395,{},"{""item65""}",{},209
Pick Item,19395,{},"{""item64""}",{},210
Place Order,19677,"{""order33""}","{""item66"",""item67""}",{},211
Confirm Order,19678,"{""order33""}","{""item66"",""item67""}",{},212
Load Cargo,19997,{},"{""item59"",""item61""}","{""delivery27""}",213
Payment Reminder,20006,"{""order33""}",{},{},214
Pick Item,20006,{},"{""item67""}",{},215
Pick Item,20006,{},"{""item66""}",{},216
Place Order,20240,"{""order34""}","{""item68"",""item69""}",{},217
Confirm Order,20241,"{""order34""}","{""item68"",""item69""}",{},218
Item out of stock,20536,{},"{""item68""}",{},219
Reorder Item,20537,{},"{""item68""}",{},220
Pick Item,20537,{},"{""item69""}",{},221
Payment Reminder,20537,"{""order34""}",{},{},222
Load Cargo,20663,{},"{""item62"",""item60""}","{""delivery24""}",223
Place Order,20845,"{""order35""}","{""item70"",""item71""}",{},224
Confirm Order,20846,"{""order35""}","{""item70"",""item71""}",{},225
Item out of stock,21169,{},"{""item70""}",{},226
Item out of stock,21169,{},"{""item71""}",{},227
Pay Order,21170,"{""order35""}",{},{},228
Reorder Item,21170,{},"{""item71""}",{},229
Reorder Item,21170,{},"{""item70""}",{},230
Load Cargo,21229,{},"{""item64"",""item65""}","{""delivery29""}",231
Place Order,21462,"{""order36""}","{""item73"",""item72""}",{},232
Confirm Order,21463,"{""order36""}","{""item73"",""item72""}",{},233
Item out of stock,21760,{},"{""item72""}",{},234
Item out of stock,21760,{},"{""item73""}",{},235
Payment Reminder,21761,"{""order36""}",{},{},236
Reorder Item,21761,{},"{""item73""}",{},237
Reorder Item,21761,{},"{""item72""}",{},238
Load Cargo,21880,{},"{""item66"",""item67""}","{""delivery11""}",239
Place Order,22101,"{""order37""}","{""item74"",""item75""}",{},240
Confirm Order,22102,"{""order37""}","{""item74"",""item75""}",{},241
Item out of stock,22408,{},"{""item75""}",{},242
Item out of stock,22408,{},"{""item74""}",{},243
Pay Order,22409,"{""order37""}",{},{},244
Reorder Item,22409,{},"{""item74""}",{},245
Reorder Item,22409,{},"{""item75""}",{},246
Place Order,22713,"{""order38""}","{""item76"",""item77""}",{},247
Confirm Order,22714,"{""order38""}","{""item76"",""item77""}",{},248
Item out of stock,23044,{},"{""item76""}",{},249
Item out of stock,23044,{},"{""item77""}",{},250
Payment Reminder,23045,"{""order38""}",{},{},251
Reorder Item,23045,{},"{""item76""}",{},252
Reorder Item,23045,{},"{""item77""}",{},253
Place Order,23327,"{""order39""}","{""item79"",""item78""}",{},254
Confirm Order,23328,"{""order39""}","{""item79"",""item78""}",{},255
Pay Order,23640,"{""order39""}",{},{},256
Item out of stock,23639,{},"{""item78""}",{},257
Item out of stock,23639,{},"{""item79""}",{},258
Reorder Item,23640,{},"{""item79""}",{},259
Reorder Item,23640,{},"{""item78""}",{},260
Place Order,23963,"{""order40""}","{""item80"",""item81""}",{},261
Confirm Order,23964,"{""order40""}","{""item80"",""item81""}",{},262
Item out of stock,24244,{},"{""item81""}",{},263
Pick Item,24245,{},"{""item80""}",{},264
Reorder Item,24245,{},"{""item81""}",{},265
Pay Order,24245,"{""order40""}",{},{},266
Place Order,24594,"{""order41""}","{""item82"",""item83""}",{},267
Confirm Order,24595,"{""order41""}","{""item82"",""item83""}",{},268
Pay Order,24910,"{""order41""}",{},{},269
Item out of stock,24909,{},"{""item82""}",{},270
Item out of stock,24909,{},"{""item83""}",{},271
Reorder Item,24910,{},"{""item82""}",{},272
Reorder Item,24910,{},"{""item83""}",{},273
Place Order,25192,"{""order42""}","{""item85"",""item84""}",{},274
Confirm Order,25193,"{""order42""}","{""item85"",""item84""}",{},275
Pick Item,25515,{},"{""item84""}",{},276
Pick Item,25515,{},"{""item85""}",{},277
Pay Order,25515,"{""order42""}",{},{},278
Place Order,25824,"{""order43""}","{""item87"",""item86""}",{},279
Confirm Order,25825,"{""order43""}","{""item87"",""item86""}",{},280
Load Cargo,26015,{},"{""item69"",""item80""}","{""delivery40""}",281
Payment Reminder,26142,"{""order43""}",{},{},282
Pick Item,26142,{},"{""item86""}",{},283
Pick Item,26142,{},"{""item87""}",{},284
Place Order,26384,"{""order44""}","{""item89"",""item88""}",{},285
Confirm Order,26385,"{""order44""}","{""item89"",""item88""}",{},286
Pay Order,26725,"{""order44""}",{},{},287
Pick Item,26725,{},"{""item88""}",{},288
Pick Item,26725,{},"{""item89""}",{},289
Place Order,26964,"{""order45""}","{""item90"",""item91""}",{},290
Confirm Order,26965,"{""order45""}","{""item90"",""item91""}",{},291
Payment Reminder,27283,"{""order45""}",{},{},292
Item out of stock,27282,{},"{""item91""}",{},293
Pick Item,27283,{},"{""item90""}",{},294
Reorder Item,27283,{},"{""item91""}",{},295
Load Cargo,27365,{},"{""item84"",""item85""}","{""delivery10""}",296
Place Order,27593,"{""order46""}","{""item93"",""item92""}",{},297
Confirm Order,27594,"{""order46""}","{""item93"",""item92""}",{},298
Item out of stock,27924,{},"{""item92""}",{},299
Pick Item,27925,{},"{""item93""}",{},300
Payment Reminder,27925,"{""order46""}",{},{},301
Reorder Item,27925,{},"{""item92""}",{},302
Load Cargo,27990,{},"{""item87"",""item86""}","{""delivery45""}",303
Place Order,28187,"{""order47""}","{""item94"",""item95""}",{},304
Confirm Order,28188,"{""order47""}","{""item94"",""item95""}",{},305
Item out of stock,28492,{},"{""item94""}",{},306
Reorder Item,28493,{},"{""item94""}",{},307
Item out of stock,28492,{},"{""item95""}",{},308
Reorder Item,28493,{},"{""item95""}",{},309
Pay Order,28493,"{""order47""}",{},{},310
Load Cargo,28541,{},"{""item88"",""item89""}","{""delivery32""}",311
Place Order,28805,"{""order48""}","{""item97"",""item96""}",{},312
Confirm Order,28806,"{""order48""}","{""item97"",""item96""}",{},313
Item out of stock,29095,{},"{""item97""}",{},314
Pay Order,29096,"{""order48""}",{},{},315
Reorder Item,29096,{},"{""item97""}",{},316
Item out of stock,29095,{},"{""item96""}",{},317
Reorder Item,29096,{},"{""item96""}",{},318
Place Order,29427,"{""order49""}","{""item98"",""item99""}",{},319
Confirm Order,29428,"{""order49""}","{""item98"",""item99""}",{},320
Payment Reminder,29736,"{""order49""}",{},{},321
Pick Item,29736,{},"{""item99""}",{},322
Item out of stock,29735,{},"{""item98""}",{},323
Reorder Item,29736,{},"{""item98""}",{},324
Load Cargo,29826,{},"{""item90"",""item93""}","{""delivery41""}",325
Place Order,30021,"{""order50""}","{""item101"",""item100""}",{},326
Confirm Order,30022,"{""order50""}","{""item101"",""item100""}",{},327
Payment Reminder,30325,"{""order50""}",{},{},328
Item out of stock,30324,{},"{""item101""}",{},329
Item out of stock,30324,{},"{""item100""}",{},330
Reorder Item,30325,{},"{""item100""}",{},331
Reorder Item,30325,{},"{""item101""}",{},332
Place Order,30588,"{""order51""}","{""item102"",""item103""}",{},333
Confirm Order,30589,"{""order51""}","{""item102"",""item103""}",{},334
Pay Order,30868,"{""order51""}",{},{},335
Item out of stock,30867,{},"{""item102""}",{},336
Reorder Item,30868,{},"{""item102""}",{},337
Pick Item,30868,{},"{""item103""}",{},338
Place Order,31180,"{""order52""}","{""item105"",""item104""}",{},339
Confirm Order,31181,"{""order52""}","{""item105"",""item104""}",{},340
Item out of stock,31499,{},"{""item104""}",{},341
Reorder Item,31500,{},"{""item104""}",{},342
Payment Reminder,31500,"{""order52""}",{},{},343
Item out of stock,31499,{},"{""item105""}",{},344
Reorder Item,31500,{},"{""item105""}",{},345
Place Order,31808,"{""order53""}","{""item106"",""item107""}",{},346
Confirm Order,31809,"{""order53""}","{""item106"",""item107""}",{},347
End Route,32102,{},"{""item11"",""item4""}","{""delivery1""}",348
Payment Reminder,32109,"{""order53""}",{},{},349
Pick Item,32109,{},"{""item107""}",{},350
Pick Item,32109,{},"{""item106""}",{},351
Place Order,32388,"{""order54""}","{""item109"",""item108""}",{},352
Confirm Order,32389,"{""order54""}","{""item109"",""item108""}",{},353
Item out of stock,32689,{},"{""item108""}",{},354
Payment Reminder,32690,"{""order54""}",{},{},355
Item out of stock,32689,{},"{""item109""}",{},356
Reorder Item,32690,{},"{""item108""}",{},357
Reorder Item,32690,{},"{""item109""}",{},358
Load Cargo,32720,{},"{""item99"",""item103""}","{""delivery4""}",359
End Route,32787,{},"{""item2"",""item3""}","{""delivery3""}",360
Place Order,32995,"{""order55""}","{""item110"",""item111""}",{},361
Confirm Order,32996,"{""order55""}","{""item110"",""item111""}",{},362
Payment Reminder,33299,"{""order55""}",{},{},363
Pick Item,33299,{},"{""item111""}",{},364
Pick Item,33299,{},"{""item110""}",{},365
Place Order,33586,"{""order56""}","{""item112"",""item113""}",{},366
Confirm Order,33587,"{""order56""}","{""item112"",""item113""}",{},367
Pay Order,33873,"{""order56""}",{},{},368
Item out of stock,33872,{},"{""item113""}",{},369
Pick Item,33873,{},"{""item112""}",{},370
Reorder Item,33873,{},"{""item113""}",{},371
Load Cargo,33929,{},"{""item106"",""item107""}","{""delivery25""}",372
Place Order,34169,"{""order57""}","{""item115"",""item114""}",{},373
Confirm Order,34170,"{""order57""}","{""item115"",""item114""}",{},374
Item out of stock,34473,{},"{""item115""}",{},375
Reorder Item,34474,{},"{""item115""}",{},376
Payment Reminder,34474,"{""order57""}",{},{},377
Pick Item,34474,{},"{""item114""}",{},378
Place Order,34796,"{""order58""}","{""item117"",""item116""}",{},379
Confirm Order,34797,"{""order58""}","{""item117"",""item116""}",{},380
End Route,35033,{},"{""item20"",""item26""}","{""delivery16""}",381
Payment Reminder,35081,"{""order58""}",{},{},382
Pick Item,35081,{},"{""item116""}",{},383
Pick Item,35081,{},"{""item117""}",{},384
Load Cargo,35105,{},"{""item110"",""item111""}","{""delivery50""}",385
Place Order,35425,"{""order59""}","{""item118"",""item119""}",{},386
Confirm Order,35426,"{""order59""}","{""item118"",""item119""}",{},387
Payment Reminder,35724,"{""order59""}",{},{},388
Item out of stock,35723,{},"{""item118""}",{},389
Reorder Item,35724,{},"{""item118""}",{},390
Pick Item,35724,{},"{""item119""}",{},391
Place Order,36026,"{""order60""}","{""item121"",""item120""}",{},392
Confirm Order,36027,"{""order60""}","{""item121"",""item120""}",{},393
Load Cargo,36271,{},"{""item114"",""item112""}","{""delivery44""}",394
Item out of stock,36338,{},"{""item120""}",{},395
Item out of stock,36338,{},"{""item121""}",{},396
Reorder Item,36339,{},"{""item120""}",{},397
Pay Order,36339,"{""order60""}",{},{},398
Reorder Item,36339,{},"{""item121""}",{},399
Place Order,36670,"{""order61""}","{""item123"",""item122""}",{},400
Confirm Order,36671,"{""order61""}","{""item123"",""item122""}",{},401
Load Cargo,36972,{},"{""item117"",""item116""}","{""delivery35""}",402
Payment Reminder,37002,"{""order61""}",{},{},403
Item out of stock,37001,{},"{""item122""}",{},404
Reorder Item,37002,{},"{""item122""}",{},405
Pick Item,37002,{},"{""item123""}",{},406
Place Order,37317,"{""order62""}","{""item124"",""item125""}",{},407
Confirm Order,37318,"{""order62""}","{""item124"",""item125""}",{},408
Pay Order,37611,"{""order62""}",{},{},409
Pick Item,37611,{},"{""item125""}",{},410
Pick Item,37611,{},"{""item124""}",{},411
Place Order,37896,"{""order63""}","{""item126"",""item127""}",{},412
Confirm Order,37897,"{""order63""}","{""item126"",""item127""}",{},413
Pay Order,38191,"{""order63""}",{},{},414
Pick Item,38191,{},"{""item127""}",{},415
Pick Item,38191,{},"{""item126""}",{},416
Place Order,38523,"{""order64""}","{""item128"",""item129""}",{},417
Confirm Order,38524,"{""order64""}","{""item128"",""item129""}",{},418
Load Cargo,38810,{},"{""item123"",""item119""}","{""delivery58""}",419
Pick Item,38844,{},"{""item129""}",{},420
Pay Order,38844,"{""order64""}",{},{},421
Pick Item,38844,{},"{""item128""}",{},422
Place Order,39157,"{""order65""}","{""item130"",""item131""}",{},423
Confirm Order,39158,"{""order65""}","{""item130"",""item131""}",{},424
Load Cargo,39444,{},"{""item125"",""item124""}","{""delivery38""}",425
Payment Reminder,39487,"{""order65""}",{},{},426
Item out of stock,39486,{},"{""item131""}",{},427
Pick Item,39487,{},"{""item130""}",{},428
Reorder Item,39487,{},"{""item131""}",{},429
Place Order,39740,"{""order66""}","{""item132"",""item133""}",{},430
Confirm Order,39741,"{""order66""}","{""item132"",""item133""}",{},431
Item out of stock,40034,{},"{""item132""}",{},432
Payment Reminder,40035,"{""order66""}",{},{},433
Reorder Item,40035,{},"{""item132""}",{},434
Pick Item,40035,{},"{""item133""}",{},435
Load Cargo,40048,{},"{""item127"",""item126""}","{""delivery51""}",436
Place Order,40388,"{""order67""}","{""item135"",""item134""}",{},437
Confirm Order,40389,"{""order67""}","{""item135"",""item134""}",{},438
Load Cargo,40627,{},"{""item128"",""item129""}","{""delivery36""}",439
Payment Reminder,40748,"{""order67""}",{},{},440
Item out of stock,40747,{},"{""item134""}",{},441
Reorder Item,40748,{},"{""item134""}",{},442
Item out of stock,40747,{},"{""item135""}",{},443
Reorder Item,40748,{},"{""item135""}",{},444
Place Order,41019,"{""order68""}","{""item136"",""item137""}",{},445
Confirm Order,41020,"{""order68""}","{""item136"",""item137""}",{},446
Item out of stock,41323,{},"{""item136""}",{},447
Pay Order,41324,"{""order68""}",{},{},448
Item out of stock,41323,{},"{""item137""}",{},449
Reorder Item,41324,{},"{""item137""}",{},450
Reorder Item,41324,{},"{""item136""}",{},451
Place Order,41595,"{""order69""}","{""item138"",""item139""}",{},452
Confirm Order,41596,"{""order69""}","{""item138"",""item139""}",{},453
Load Cargo,41813,{},"{""item133"",""item130""}","{""delivery48""}",454
Item out of stock,41904,{},"{""item138""}",{},455
Pay Order,41905,"{""order69""}",{},{},456
Item out of stock,41904,{},"{""item139""}",{},457
Reorder Item,41905,{},"{""item138""}",{},458
Reorder Item,41905,{},"{""item139""}",{},459
Place Order,42191,"{""order70""}","{""item140"",""item141""}",{},460
Confirm Order,42192,"{""order70""}","{""item140"",""item141""}",{},461
Item out of stock,42500,{},"{""item141""}",{},462
Item out of stock,42500,{},"{""item140""}",{},463
Payment Reminder,42501,"{""order70""}",{},{},464
Reorder Item,42501,{},"{""item141""}",{},465
Reorder Item,42501,{},"{""item140""}",{},466
Place Order,42758,"{""order71""}","{""item143"",""item142""}",{},467
Confirm Order,42759,"{""order71""}","{""item143"",""item142""}",{},468
Fuel Car,43015,{},{},"{""delivery67""}",469
Pay Order,43066,"{""order71""}",{},{},470
Item out of stock,43065,{},"{""item142""}",{},471
Item out of stock,43065,{},"{""item143""}",{},472
Reorder Item,43066,{},"{""item142""}",{},473
Reorder Item,43066,{},"{""item143""}",{},474
Place Order,43360,"{""order72""}","{""item144"",""item145""}",{},475
Confirm Order,43361,"{""order72""}","{""item144"",""item145""}",{},476
Pay Order,43655,"{""order72""}",{},{},477
Item out of stock,43654,{},"{""item144""}",{},478
Reorder Item,43655,{},"{""item144""}",{},479
Pick Item,43655,{},"{""item145""}",{},480
Place Order,44015,"{""order73""}","{""item147"",""item146""}",{},481
Confirm Order,44016,"{""order73""}","{""item147"",""item146""}",{},482
Item out of stock,44327,{},"{""item146""}",{},483
Payment Reminder,44328,"{""order73""}",{},{},484
Reorder Item,44328,{},"{""item146""}",{},485
Pick Item,44328,{},"{""item147""}",{},486
Place Order,44621,"{""order74""}","{""item149"",""item148""}",{},487
Confirm Order,44622,"{""order74""}","{""item149"",""item148""}",{},488
Item out of stock,44939,{},"{""item148""}",{},489
Pay Order,44940,"{""order74""}",{},{},490
Pick Item,44940,{},"{""item149""}",{},491
Reorder Item,44940,{},"{""item148""}",{},492
Place Order,45189,"{""order75""}","{""item150"",""item151""}",{},493
Confirm Order,45190,"{""order75""}","{""item150"",""item151""}",{},494
Item out of stock,45488,{},"{""item151""}",{},495
Payment Reminder,45489,"{""order75""}",{},{},496
Pick Item,45489,{},"{""item150""}",{},497
Reorder Item,45489,{},"{""item151""}",{},498
Place Order,45834,"{""order76""}","{""item152"",""item153""}",{},499
Confirm Order,45835,"{""order76""}","{""item152"",""item153""}",{},500
Load Cargo,46150,{},"{""item147"",""item145""}","{""delivery63""}",501
Payment Reminder,46154,"{""order76""}",{},{},502
Pick Item,46154,{},"{""item152""}",{},503
Item out of stock,46153,{},"{""item153""}",{},504
Reorder Item,46154,{},"{""item153""}",{},505
Place Order,46413,"{""order77""}","{""item155"",""item154""}",{},506
